class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023101,PEF3208,Fundamentos de Mecânica das Estruturas,Guilherme Rosa Franzini,2023-03-13,2023-07-15,eletrica-manual,ter,09:20,11:00,Elétrica,D1-04,
2023101,MAP3121,Métodos Numéricos e Aplicações,Marcone Corrêa Pereira,2023-03-13,2023-07-15,eletrica-manual,seg,09:20,11:00,Elétrica,GD-06,
2023101,MAP3121,Métodos Numéricos e Aplicações,Marcone Corrêa Pereira,2023-03-13,2023-07-15,eletrica-manual,qua,09:20,11:00,Elétrica,GD-06,
2023102,MAP3121,Métodos Numéricos e Aplicações,Nelson Mugayar Kuhl,2023-03-13,2023-07-15,eletrica-manual,seg,09:20,11:00,Elétrica,D1-02,
2023102,MAP3121,Métodos Numéricos e Aplicações,Nelson Mugayar Kuhl,2023-03-13,2023-07-15,eletrica-manual,qua,09:20,11:00,Elétrica,D1-02,
2023103,MAP3121,Métodos Numéricos e Aplicações,Pedro da Silva Peixoto,2023-03-13,2023-07-15,eletrica-manual,seg,09:20,11:00,Elétrica,D1-03,
2023103,MAP3121,Métodos Numéricos e Aplicações,Pedro da Silva Peixoto,2023-03-13,2023-07-15,eletrica-manual,qua,09:20,11:00,Elétrica,D1-03,
2023101,PRO3811 ,Fundamentos de Administração,Marcelo Jose do Carmo,2023-03-13,2023-07-15,eletrica-manual,qua,13:10,14:50,Elétrica,GD-05,
2023101,PRO3821 ,Fundamentos de Economia,João Amato Neto,2023-03-13,2023-07-15,eletrica-manual,ter,07:30,09:10,Elétrica,Anfiteatro,
2023150,PCS3100,Introdução à Engenharia de Computação,Edson Satoshi Gomi,2023-03-13,2023-07-15,eletrica-manual,sex,13:10,16:40,Elétrica,C1-30,1
2023104,PCS3110,Algoritmos e Estruturas de Dados para Engenharia Elétrica,Eduardo Raul Hruschka,2023-03-13,2023-07-15,eletrica-manual,seg,11:10,12:50,Elétrica,GD-06,1
2023104,PCS3110,Algoritmos e Estruturas de Dados para Engenharia Elétrica,Eduardo Raul Hruschka,2023-03-13,2023-07-15,eletrica-manual,qua,11:10,12:50,Elétrica,D1-04,1
2023108,PCS3111,Laboratório de Programação Orientada a Objetos para Engenharia Elétrica,Fabio Levy Siqueira,2023-03-13,2023-07-15,eletrica-manual,qua,08:20,11:00,Elétrica,LabProg,1
2023109,PCS3111,Laboratório de Programação Orientada a Objetos para Engenharia Elétrica,Jaime Simão Sichman,2023-03-13,2023-07-15,eletrica-manual,ter,14:00,16:40,Elétrica,LabProg,1
2023101,PCS3225,Sistemas Digitais II,Edson Satoshi Gomi,2023-03-13,2023-07-15,eletrica-manual,seg,09:20,11:00,Elétrica,D1-01,1
2023101,PCS3225,Sistemas Digitais II,Edson Satoshi Gomi,2023-03-13,2023-07-15,eletrica-manual,qua,13:10,14:50,Elétrica,GD-06,1
2023102,PCS3225,Sistemas Digitais II,Bruno de Carvalho Albertini,2023-03-13,2023-07-15,eletrica-manual,seg,09:20,11:00,Elétrica,C1-30,1
2023102,PCS3225,Sistemas Digitais II,Bruno de Carvalho Albertini,2023-03-13,2023-07-15,eletrica-manual,qua,13:10,14:50,Elétrica,D1-04,1
2023101,PCS3115,Sistemas Digitais I,Glauber De Bona,2023-03-13,2023-07-15,eletrica-manual,seg,15:00,16:40,Elétrica,D1-01,1
2023101,PCS3115,Sistemas Digitais I,Glauber De Bona,2023-03-13,2023-07-15,eletrica-manual,qua,13:10,14:50,Elétrica,D1-01,1
2023102,PCS3115,Sistemas Digitais I,Marcos Antonio Simplicio Junior,2023-03-13,2023-07-15,eletrica-manual,seg,15:00,16:40,Elétrica,D1-02,1
2023102,PCS3115,Sistemas Digitais I,Marcos Antonio Simplicio Junior,2023-03-13,2023-07-15,eletrica-manual,qua,13:10,14:50,Elétrica,D1-02,1
2023103,PCS3115,Sistemas Digitais I,Wilian França Costa,2023-03-13,2023-07-15,eletrica-manual,seg,15:00,16:40,Elétrica,D1-03,1
2023103,PCS3115,Sistemas Digitais I,Wilian França Costa,2023-03-13,2023-07-15,eletrica-manual,qua,13:10,14:50,Elétrica,D1-03,1
2023101,PCS3335,Laboratório Digital A,Tereza Cristina Melo de Brito Carvalho,2023-03-13,2023-07-15,eletrica-manual,seg,15:00,17:40,Elétrica,C1-17,1
2023102,PCS3335,Laboratório Digital A,,2023-03-13,2023-07-15,eletrica-manual,seg,15:00,17:40,Elétrica,C1-17,1
2023103,PCS3335,Laboratório Digital A,Bruno de Carvalho Albertini,2023-03-13,2023-07-15,eletrica-manual,ter,15:00,17:40,Elétrica,C1-17,1
2023104,PCS3335,Laboratório Digital A,Glauber De Bona,2023-03-13,2023-07-15,eletrica-manual,ter,15:00,17:40,Elétrica,C1-17,1
2023105,PCS3335,Laboratório Digital A,Pedro Luiz Pizzigatti Corrêa,2023-03-13,2023-07-15,eletrica-manual,qua,15:00,17:40,Elétrica,C1-17,1
2023106,PCS3335,Laboratório Digital A,Jorge Rady de Almeida Junior,2023-03-13,2023-07-15,eletrica-manual,qua,15:00,17:40,Elétrica,C1-17,1
2023107,PCS3335,Laboratório Digital A,Tereza Cristina Melo de Brito Carvalho,2023-03-13,2023-07-15,eletrica-manual,qui,09:20,12:00,Elétrica,C1-17,1
